Gene	Priority
ENSG00000129084	6
ENSG00000099860	6
ENSG00000095015	6
ENSG00000085511	6
ENSG00000070770	6
ENSG00000135899	6
ENSG00000178732	6
ENSG00000254087	6
ENSG00000172543	6
RAG2	6
ENSG00000095585	6
ENSG00000141736	6
ENSG00000114423	6
ENSG00000140443	6
ENSG00000147889	6
ENSG00000074660	6
ENSG00000178568	6
ENSG00000142168	6
FPR1	6
ENSG00000184451	6
ENSG00000148660	6
ENSG00000070808	6
ENSG00000227357	6
ENSG00000158748	6
ENSG00000145901	6
ENSG00000215788	6
ENSG00000164485	6
ENSG00000049130	6
ENSG00000107485	6
ENSG00000173744	6
ENSG00000125378	6
ENSG00000229314	6
ENSG00000228278	6
ENSG00000120833	6
ENSG00000143390	6
POU2AF1	6
ENSG00000183763	6
ENSG00000151651	6
ENSG00000170027	6
ENSG00000213886	6
ENSG00000171862	6
ENSG00000174130	6
ENSG00000100519	6
ENSG00000186562	6
ENSG00000101916	6
ENSG00000155849	6
ENSG00000186407	6
ENSG00000135503	6
ENSG00000111276	6
ENSG00000174775	6
ENSG00000103257	6
ENSG00000204632	6
HSP90B1	6
ENSG00000146232	6
TXNDC1	6
ENSG00000160307	6
ENSG00000159128	6
ENSG00000167618	6
ENSG00000091972	6
ENSG00000102181	6
ENSG00000119917	6
ENSG00000162889	6
ENSG00000173198	6
ENSG00000128271	6
ENSG00000130203	6
ENSG00000171049	6
KIR2DS5	6
ENSG00000109819	6
ENSG00000180483	6
ENSG00000187908	6
ENSG00000136280	6
ENSG00000232629	6
ENSG00000124469	6
ENSG00000142677	6
ENSG00000129450	6
ENSG00000151914	6
ENSG00000175206	6
ENSG00000131094	6
ENSG00000135100	6
ENSG00000213402	6
ENSG00000172215	6
ENSG00000117228	6
ENSG00000172638	6
ENSG00000196092	6
ENSG00000116544	6
ENSG00000119335	6
ENSG00000135903	6
ENSG00000162739	6
ENSG00000148344	6
ENSG00000242019	6
ENSG00000081051	6
ENSG00000132465	6
